login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
brianyu28,brianyu28/cs50,2019-09-17T15:00:36Z,19,19,HTML,True,True,
brianyu28,brianyu28/scratch-to-blocks,2020-05-02T11:08:11Z,11,11,Python,True,True,
brianyu28,brianyu28/holyoke,2022-06-09T00:21:08Z,6,6,Swift,True,True,
brianyu28,brianyu28/dispatch,2017-08-26T21:43:51Z,39,39,Rust,True,True,gpl-3.0
brianyu28,brianyu28/multicolor,2024-04-08T22:45:21Z,5,5,TypeScript,True,True,
brianyu28,brianyu28/momentary,2024-04-03T03:57:37Z,3,3,TypeScript,True,True,
brianyu28,brianyu28/sycamore,2019-11-18T00:16:35Z,10,10,Python,True,True,gpl-3.0
brianyu28,brianyu28/jeopardy,2020-01-20T04:21:06Z,28,28,TypeScript,True,True,
brianyu28,brianyu28/spanningtree,2023-04-29T23:30:09Z,2,2,TypeScript,True,False,
brianyu28,brianyu28/tenacity,2021-02-20T20:36:23Z,34,34,JavaScript,True,True,gpl-3.0
brianyu28,brianyu28/streamline,2023-01-21T06:01:54Z,58,58,Swift,True,True,gpl-3.0
brianyu28,brianyu28/streamline-homepage,2023-02-05T13:49:20Z,2,2,HTML,True,True,
brianyu28,brianyu28/brianyu28,2021-04-18T23:10:34Z,11,11,,True,True,
brianyu28,brianyu28/classroometrics,2022-08-10T00:35:48Z,15,15,Python,True,True,
brianyu28,brianyu28/hidden-move-go-generator,2022-11-12T20:48:28Z,1,1,JavaScript,True,True,
brianyu28,brianyu28/courseboards,2017-07-28T00:49:29Z,5,5,JavaScript,True,True,
brianyu28,brianyu28/authorship,2018-09-06T20:46:18Z,15,15,Python,True,True,
brianyu28,brianyu28/countdowns,2021-05-09T02:33:40Z,11,11,TypeScript,True,True,
brianyu28,brianyu28/blender,2020-05-10T23:04:07Z,9,9,Python,True,True,
brianyu28,brianyu28/scratchtext,2020-02-26T13:22:19Z,10,10,JavaScript,True,True,
brianyu28,brianyu28/vitality,2019-08-15T03:11:06Z,18,18,JavaScript,True,True,gpl-3.0
brianyu28,brianyu28/extemp,2019-02-03T04:57:00Z,1,1,JavaScript,True,True,
brianyu28,brianyu28/chronology,2018-08-15T02:01:27Z,12,12,TypeScript,True,True,
brianyu28,brianyu28/tag-to-acg,2018-08-02T04:27:56Z,2,2,Python,True,True,
brianyu28,brianyu28/csguidebook,2018-07-02T02:30:02Z,8,8,TypeScript,True,True,
brianyu28,brianyu28/accompaniment,2017-10-31T20:20:05Z,0,0,TeX,True,True,
brianyu28,brianyu28/presne,2017-11-22T07:51:04Z,0,0,JavaScript,True,True,
brianyu28,brianyu28/z,2017-07-26T13:48:30Z,4,4,Python,True,True,
brianyu28,brianyu28/infographics-crimcom17,2017-05-16T15:20:37Z,0,0,HTML,True,True,
brianyu28,brianyu28/predictive-graph,2017-05-15T20:33:23Z,0,0,JavaScript,True,True,
brianyu28,brianyu28/byd3,2017-05-17T18:09:51Z,1,1,JavaScript,True,True,
brianyu28,brianyu28/roundtable,2017-05-13T04:35:12Z,0,0,JavaScript,True,True,
brianyu28,brianyu28/old-sheets-flying,2016-08-11T08:14:52Z,0,0,Python,True,True,
brianyu28,brianyu28/siac-feedback,2016-07-06T04:37:02Z,1,1,CSS,True,True,
brianyu28,brianyu28/alliance,2016-07-03T23:08:52Z,2,2,CSS,True,True,
PatrickAlphaC,PatrickAlphaC/titanoboa,2024-07-19T00:41:31Z,0,0,,True,True,other
PatrickAlphaC,PatrickAlphaC/test_compile,2024-10-24T00:38:28Z,0,0,Vyper,True,True,
PatrickAlphaC,PatrickAlphaC/titanoboa-zksync,2024-08-04T23:03:57Z,2,2,Python,True,True,mit
PatrickAlphaC,PatrickAlphaC/white-hat-frontrunning,2024-10-16T17:30:44Z,5,5,,True,False,agpl-3.0
PatrickAlphaC,PatrickAlphaC/benchmarking-frameworks,2024-09-21T18:55:30Z,2,2,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/test_repo,2024-10-01T21:01:52Z,2,2,Python,True,True,
PatrickAlphaC,PatrickAlphaC/halmos,2024-09-26T21:19:54Z,0,0,Python,True,True,agpl-3.0
PatrickAlphaC,PatrickAlphaC/vheader-py,2024-09-13T21:32:57Z,2,2,Python,True,True,mit
PatrickAlphaC,PatrickAlphaC/vheader,2024-09-13T20:36:19Z,5,5,Rust,True,True,
PatrickAlphaC,PatrickAlphaC/PatrickAlphaC,2020-08-17T21:21:55Z,114,114,,True,True,
PatrickAlphaC,PatrickAlphaC/protocol-v1,2024-09-05T21:03:35Z,2,2,,True,True,
PatrickAlphaC,PatrickAlphaC/nextjs-smartcontract-lottery-fcc,2022-02-25T18:09:24Z,60,60,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-nft-fcc,2022-03-03T12:24:04Z,102,102,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/rwa-creator,2024-03-14T01:24:46Z,133,133,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/no-unlocked-accounts-example,2024-06-21T19:58:16Z,2,2,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/minimal-account-abstraction,2024-05-02T02:13:56Z,3,3,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/nextjs-nft-marketplace-moralis-fcc,2022-04-18T18:20:40Z,44,44,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/signatureVerification,2024-01-26T19:49:48Z,18,18,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/fund-me-fcc,2022-01-19T21:04:39Z,55,55,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/simple-storage-fcc,2022-01-19T19:42:04Z,100,100,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/ethereum-org-website,2021-01-11T00:09:25Z,9,9,Markdown,True,False,mit
PatrickAlphaC,PatrickAlphaC/nextjs-nft-marketplace-thegraph-fcc,2022-04-19T12:35:09Z,39,39,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/updraft-nft-ui,2024-05-24T16:15:20Z,1,1,Svelte,True,True,
PatrickAlphaC,PatrickAlphaC/foundry-zksync,2024-05-22T19:35:59Z,4,4,Rust,True,True,apache-2.0
PatrickAlphaC,PatrickAlphaC/full-blockchain-solidity-course-js,2024-05-17T03:41:21Z,15,15,,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-zksync,2024-05-22T13:07:29Z,4,4,TypeScript,True,True,apache-2.0
PatrickAlphaC,PatrickAlphaC/ethers-simple-storage-fcc,2022-01-19T21:14:59Z,89,89,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/erc20-brownie-py,2021-08-09T22:40:51Z,8,8,Python,True,True,
PatrickAlphaC,PatrickAlphaC/aave_brownie_py,2021-04-27T23:14:08Z,61,61,Solidity,True,True,mit
PatrickAlphaC,PatrickAlphaC/defi-stake-yield-brownie,2021-07-11T22:43:28Z,77,77,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/brownie_simple_storage,2021-06-09T18:06:30Z,25,25,Python,True,True,
PatrickAlphaC,PatrickAlphaC/brownie_fund_me,2021-06-09T02:25:50Z,26,26,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/smartcontract-lottery,2021-05-19T21:46:58Z,79,79,Solidity,True,True,mit
PatrickAlphaC,PatrickAlphaC/hardhat-simple-storage,2022-01-30T21:21:01Z,13,13,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-fund-me-forked-fcc,2022-01-28T02:15:34Z,5,5,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-metamorphic-upgrades-fcc,2022-03-05T02:33:11Z,12,12,JavaScript,True,True,mit
PatrickAlphaC,PatrickAlphaC/hardhat-upgrades-fcc,2022-03-04T21:41:56Z,17,17,JavaScript,True,True,mit
PatrickAlphaC,PatrickAlphaC/hardhat-security-fcc,2022-03-07T04:29:55Z,411,411,Solidity,True,True,mit
PatrickAlphaC,PatrickAlphaC/hardhat-erc20-fcc,2022-02-25T18:23:10Z,38,38,JavaScript,True,True,mit
PatrickAlphaC,PatrickAlphaC/hardhat-dao-fcc,2022-03-04T23:11:20Z,15,15,TypeScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-nft-marketplace-fcc,2022-03-09T03:24:05Z,114,114,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-simple-storage-fcc,2022-01-21T12:22:34Z,74,74,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-defi-fcc,2022-03-02T00:06:21Z,35,35,Solidity,True,True,mit
PatrickAlphaC,PatrickAlphaC/hardhat-fund-me-fcc,2022-01-22T04:23:57Z,83,83,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/hardhat-smartcontract-lottery-fcc,2022-02-22T13:17:17Z,118,118,JavaScript,True,True,mit
PatrickAlphaC,PatrickAlphaC/Updraft,2024-05-16T23:18:32Z,0,0,,True,True,agpl-3.0
PatrickAlphaC,PatrickAlphaC/send_blob,2024-05-14T20:09:42Z,7,7,Python,True,True,
PatrickAlphaC,PatrickAlphaC/chainlink-brownie-contracts,2024-05-09T01:55:03Z,1,1,Solidity,True,True,
PatrickAlphaC,PatrickAlphaC/zksync-web-era-docs,2024-03-22T01:23:10Z,1,1,JavaScript,True,True,mit
PatrickAlphaC,PatrickAlphaC/ERCs,2024-04-26T19:06:13Z,3,3,Solidity,True,False,cc0-1.0
PatrickAlphaC,PatrickAlphaC/html-fund-me-fcc,2022-02-13T18:32:09Z,32,32,JavaScript,True,True,
PatrickAlphaC,PatrickAlphaC/solidity,2024-04-27T17:36:23Z,3,3,,True,True,gpl-3.0
PatrickAlphaC,PatrickAlphaC/EIPs,2024-04-26T19:04:53Z,2,2,,True,False,cc0-1.0
PatrickAlphaC,PatrickAlphaC/nft-mix,2021-03-01T20:53:15Z,825,825,Solidity,True,True,mit
PatrickAlphaC,PatrickAlphaC/nft-demo,2021-08-09T22:53:16Z,37,37,Python,True,True,
PatrickAlphaC,PatrickAlphaC/foundry-huff,2024-03-19T13:05:03Z,3,3,Solidity,True,True,apache-2.0
PatrickAlphaC,PatrickAlphaC/evm-diff,2024-03-22T02:57:02Z,0,0,,True,False,mit
