login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
brianyu28,16066224,MDQ6VXNlcjE2MDY2MjI0,https://avatars.githubusercontent.com/u/16066224?v=4,,https://api.github.com/users/brianyu28,https://github.com/brianyu28,https://api.github.com/users/brianyu28/followers,https://api.github.com/users/brianyu28/following{/other_user},https://api.github.com/users/brianyu28/gists{/gist_id},https://api.github.com/users/brianyu28/starred{/owner}{/repo},https://api.github.com/users/brianyu28/subscriptions,https://api.github.com/users/brianyu28/orgs,https://api.github.com/users/brianyu28/repos,https://api.github.com/users/brianyu28/events{/privacy},https://api.github.com/users/brianyu28/received_events,User,public,False,1.0
PatrickAlphaC,54278053,MDQ6VXNlcjU0Mjc4MDUz,https://avatars.githubusercontent.com/u/54278053?v=4,,https://api.github.com/users/PatrickAlphaC,https://github.com/PatrickAlphaC,https://api.github.com/users/PatrickAlphaC/followers,https://api.github.com/users/PatrickAlphaC/following{/other_user},https://api.github.com/users/PatrickAlphaC/gists{/gist_id},https://api.github.com/users/PatrickAlphaC/starred{/owner}{/repo},https://api.github.com/users/PatrickAlphaC/subscriptions,https://api.github.com/users/PatrickAlphaC/orgs,https://api.github.com/users/PatrickAlphaC/repos,https://api.github.com/users/PatrickAlphaC/events{/privacy},https://api.github.com/users/PatrickAlphaC/received_events,User,public,False,1.0
KeithGalli,6260748,MDQ6VXNlcjYyNjA3NDg=,https://avatars.githubusercontent.com/u/6260748?v=4,,https://api.github.com/users/KeithGalli,https://github.com/KeithGalli,https://api.github.com/users/KeithGalli/followers,https://api.github.com/users/KeithGalli/following{/other_user},https://api.github.com/users/KeithGalli/gists{/gist_id},https://api.github.com/users/KeithGalli/starred{/owner}{/repo},https://api.github.com/users/KeithGalli/subscriptions,https://api.github.com/users/KeithGalli/orgs,https://api.github.com/users/KeithGalli/repos,https://api.github.com/users/KeithGalli/events{/privacy},https://api.github.com/users/KeithGalli/received_events,User,public,False,1.0
CharlesCreativeContent,62077627,MDQ6VXNlcjYyMDc3NjI3,https://avatars.githubusercontent.com/u/62077627?v=4,,https://api.github.com/users/CharlesCreativeContent,https://github.com/CharlesCreativeContent,https://api.github.com/users/CharlesCreativeContent/followers,https://api.github.com/users/CharlesCreativeContent/following{/other_user},https://api.github.com/users/CharlesCreativeContent/gists{/gist_id},https://api.github.com/users/CharlesCreativeContent/starred{/owner}{/repo},https://api.github.com/users/CharlesCreativeContent/subscriptions,https://api.github.com/users/CharlesCreativeContent/orgs,https://api.github.com/users/CharlesCreativeContent/repos,https://api.github.com/users/CharlesCreativeContent/events{/privacy},https://api.github.com/users/CharlesCreativeContent/received_events,User,public,False,1.0
timbl,1254848,MDQ6VXNlcjEyNTQ4NDg=,https://avatars.githubusercontent.com/u/1254848?v=4,,https://api.github.com/users/timbl,https://github.com/timbl,https://api.github.com/users/timbl/followers,https://api.github.com/users/timbl/following{/other_user},https://api.github.com/users/timbl/gists{/gist_id},https://api.github.com/users/timbl/starred{/owner}{/repo},https://api.github.com/users/timbl/subscriptions,https://api.github.com/users/timbl/orgs,https://api.github.com/users/timbl/repos,https://api.github.com/users/timbl/events{/privacy},https://api.github.com/users/timbl/received_events,User,public,False,1.0
bahmutov,2212006,MDQ6VXNlcjIyMTIwMDY=,https://avatars.githubusercontent.com/u/2212006?v=4,,https://api.github.com/users/bahmutov,https://github.com/bahmutov,https://api.github.com/users/bahmutov/followers,https://api.github.com/users/bahmutov/following{/other_user},https://api.github.com/users/bahmutov/gists{/gist_id},https://api.github.com/users/bahmutov/starred{/owner}{/repo},https://api.github.com/users/bahmutov/subscriptions,https://api.github.com/users/bahmutov/orgs,https://api.github.com/users/bahmutov/repos,https://api.github.com/users/bahmutov/events{/privacy},https://api.github.com/users/bahmutov/received_events,User,public,False,1.0
migueldeicaza,36863,MDQ6VXNlcjM2ODYz,https://avatars.githubusercontent.com/u/36863?v=4,,https://api.github.com/users/migueldeicaza,https://github.com/migueldeicaza,https://api.github.com/users/migueldeicaza/followers,https://api.github.com/users/migueldeicaza/following{/other_user},https://api.github.com/users/migueldeicaza/gists{/gist_id},https://api.github.com/users/migueldeicaza/starred{/owner}{/repo},https://api.github.com/users/migueldeicaza/subscriptions,https://api.github.com/users/migueldeicaza/orgs,https://api.github.com/users/migueldeicaza/repos,https://api.github.com/users/migueldeicaza/events{/privacy},https://api.github.com/users/migueldeicaza/received_events,User,public,False,1.0
rwaldron,27985,MDQ6VXNlcjI3OTg1,https://avatars.githubusercontent.com/u/27985?v=4,,https://api.github.com/users/rwaldron,https://github.com/rwaldron,https://api.github.com/users/rwaldron/followers,https://api.github.com/users/rwaldron/following{/other_user},https://api.github.com/users/rwaldron/gists{/gist_id},https://api.github.com/users/rwaldron/starred{/owner}{/repo},https://api.github.com/users/rwaldron/subscriptions,https://api.github.com/users/rwaldron/orgs,https://api.github.com/users/rwaldron/repos,https://api.github.com/users/rwaldron/events{/privacy},https://api.github.com/users/rwaldron/received_events,User,public,False,1.0
nikomatsakis,155238,MDQ6VXNlcjE1NTIzOA==,https://avatars.githubusercontent.com/u/155238?v=4,,https://api.github.com/users/nikomatsakis,https://github.com/nikomatsakis,https://api.github.com/users/nikomatsakis/followers,https://api.github.com/users/nikomatsakis/following{/other_user},https://api.github.com/users/nikomatsakis/gists{/gist_id},https://api.github.com/users/nikomatsakis/starred{/owner}{/repo},https://api.github.com/users/nikomatsakis/subscriptions,https://api.github.com/users/nikomatsakis/orgs,https://api.github.com/users/nikomatsakis/repos,https://api.github.com/users/nikomatsakis/events{/privacy},https://api.github.com/users/nikomatsakis/received_events,User,public,False,1.0
lh3,480346,MDQ6VXNlcjQ4MDM0Ng==,https://avatars.githubusercontent.com/u/480346?v=4,,https://api.github.com/users/lh3,https://github.com/lh3,https://api.github.com/users/lh3/followers,https://api.github.com/users/lh3/following{/other_user},https://api.github.com/users/lh3/gists{/gist_id},https://api.github.com/users/lh3/starred{/owner}{/repo},https://api.github.com/users/lh3/subscriptions,https://api.github.com/users/lh3/orgs,https://api.github.com/users/lh3/repos,https://api.github.com/users/lh3/events{/privacy},https://api.github.com/users/lh3/received_events,User,public,False,1.0
